school_id,neighborhood_id,school_name,school_type,rating,address
1,1,Johnson Learning Center,public,7,"611 Crystal Points, New York, NY 11105"
2,2,Mercer High School,public,8,"511 Jared Pines, New York, NY 10012"
3,3,Wood STEM Academy,private,6,"561 Potter Mission, New York, NY 10038"
4,4,Craig Charter School,public,8,"350 Eric Prairie, New York, NY 11102"
5,5,Jackson Learning Center,public,10,"566 Cunningham Mall, New York, NY 10025"
6,6,Forbes STEM Academy,public,9,"965 Karen Haven, New York, NY 10023"
7,7,Hawkins Learning Center,public,6,"203 Fritz Lane, New York, NY 10301"
8,8,Morse Preparatory,public,6,"595 Nicholas Vista, New York, NY 10025"
9,9,Martinez Preparatory,private,4,"886 Robinson Creek, New York, NY 11215"
10,10,Duncan STEM Academy,public,9,"54 Michelle Trafficway, New York, NY 10023"
11,11,Waters High School,public,9,"494 Pierce Knoll, New York, NY 10301"
12,12,Potter Learning Center,public,5,"400 Lester Harbors, New York, NY 10025"
13,13,Flores High School,private,7,"821 Mccoy Shores, New York, NY 11375"
14,14,Dyer Preparatory,public,9,"517 Shaw Place, New York, NY 10002"
15,15,Myers Preparatory,public,5,"524 Simpson Mountain, New York, NY 11105"
16,16,Mitchell Charter School,public,5,"900 Moore Well, New York, NY 10011"
17,17,Thompson Learning Center,public,6,"875 Smith Village, Jersey City, NJ 07306"
18,18,Cook Academy,charter,7,"548 Douglas Springs, Jersey City, NJ 07306"
19,19,Solomon Academy,public,7,"749 Carpenter Manor, Hoboken, NJ 07030"
20,20,Mccann STEM Academy,charter,5,"901 Lopez Burgs, Montclair, NJ 07042"
21,21,Montgomery Academy,magnet,7,"490 Chelsea Parkway, Stamford, CT 06902"
22,22,Duarte Charter School,public,7,"648 Dougherty Islands, Greenwich, CT 06831"
23,23,Bishop High School,public,5,"92 Ashley Mountains, Bridgeport, CT 06605"
24,24,Cohen Learning Center,charter,5,"700 Johnson Rapid, West Hartford, CT 06119"
25,1,Stephenson STEM Academy,public,5,"987 Arnold Way, New York, NY 10023"
26,2,Lee High School,public,9,"745 Stephen Stream, New York, NY 11215"
27,3,Baxter STEM Academy,public,7,"903 Thomas Station, New York, NY 11102"
28,4,Morse Academy,public,10,"642 Anderson Circles, New York, NY 10003"
29,5,Kline Preparatory,magnet,10,"656 Becky Mount, New York, NY 10463"
30,6,Sanchez Charter School,public,9,"242 Fritz Underpass, New York, NY 11201"
31,7,Thompson Academy,private,8,"454 Porter Creek, New York, NY 10011"
32,8,Lara Learning Center,magnet,8,"658 Wiggins Estate, New York, NY 10301"
33,9,Sanchez Learning Center,charter,6,"112 Adam Bypass, New York, NY 10036"
34,10,Fleming Preparatory,public,7,"720 Camacho Mountains, New York, NY 10022"
35,11,Atkins Academy,private,7,"57 Krista Green, New York, NY 10023"
36,12,Ware Learning Center,magnet,3,"67 Jennifer Rest, New York, NY 10022"
37,13,Holland Charter School,private,5,"393 Samuel Views, New York, NY 10028"
38,14,Barber Preparatory,private,5,"260 Cain Village, New York, NY 11101"
39,15,Short STEM Academy,public,4,"589 Michael Stravenue, New York, NY 10463"
40,16,Ho Learning Center,public,5,"194 Patterson Crossing, New York, NY 10013"
41,17,Garcia Preparatory,public,5,"90 Chang Prairie, Jersey City, NJ 07310"
42,18,Molina Learning Center,magnet,8,"401 Jennifer Lakes, Jersey City, NJ 07310"
43,19,Gutierrez High School,public,8,"256 Thomas Gardens, Hoboken, NJ 07030"
44,20,Pope Community School,public,7,"156 Joseph Isle, Montclair, NJ 07042"
45,21,May STEM Academy,charter,7,"663 Stephen Station, Stamford, CT 06902"
46,22,Vasquez STEM Academy,public,8,"271 Katherine Junctions, Greenwich, CT 06830"
47,23,Phillips Learning Center,private,6,"486 Rivera Mission, Bridgeport, CT 06605"
48,24,Lyons High School,charter,7,"569 Wheeler Trace, West Hartford, CT 06107"
49,1,Taylor Academy,public,8,"462 Johnson Land, New York, NY 10024"
50,2,Elliott Community School,public,9,"316 Parker Stravenue, New York, NY 11375"
51,3,Moore STEM Academy,public,8,"716 Alvarez Mill, New York, NY 10021"
52,4,Nunez STEM Academy,public,7,"875 Julia Square, New York, NY 10022"
53,5,Anderson Preparatory,charter,7,"403 Villarreal Glens, New York, NY 10038"
54,6,Walsh Academy,magnet,8,"252 Melissa Prairie, New York, NY 10025"
55,7,Turner Community School,public,5,"377 Jordan Stravenue, New York, NY 11105"
56,8,Romero Charter School,public,7,"726 Woods Extension, New York, NY 10022"
57,9,Compton Academy,public,8,"859 Brenda Parkway, New York, NY 10463"
58,10,Edwards STEM Academy,public,9,"291 Gray Oval, New York, NY 10001"
59,11,Wong Community School,public,3,"895 Thompson Light, New York, NY 10463"
60,12,Smith Learning Center,public,5,"772 Matthew Inlet, New York, NY 10002"
61,13,Clark Community School,public,7,"773 Joshua Tunnel, New York, NY 10038"
62,14,Daniel Learning Center,public,5,"935 Debra Knolls, New York, NY 10022"
63,15,Porter Learning Center,magnet,6,"828 Mary Vista, New York, NY 10019"
64,16,Fuentes Community School,private,3,"831 Judith Lakes, New York, NY 10024"
65,17,Beck Preparatory,public,8,"661 Sims Isle, Jersey City, NJ 07304"
66,18,Romero Community School,charter,4,"266 Tran Place, Jersey City, NJ 07304"
67,19,Bradford High School,private,3,"109 Tara Centers, Hoboken, NJ 07030"
68,20,Griffin Charter School,private,6,"817 John Union, Montclair, NJ 07043"
69,21,Stevenson Academy,public,6,"603 Jeremy Stravenue, Stamford, CT 06902"
70,22,Bryant High School,private,6,"144 Tiffany Grove, Greenwich, CT 06830"
71,23,Arnold Charter School,private,6,"344 Julia Street, Bridgeport, CT 06606"
72,24,Rivas STEM Academy,public,6,"189 Rebecca Curve, West Hartford, CT 06107"
